GCF_033955345.1	Sphingobacterium bambusae
GCF_009829085.1	Sphingobacterium bovisgrunnientis
GCF_020295405.1	Sphingobacterium bovistauri
GCF_008520265.1	Sphingobacterium cavernae
GCF_043187465.1	Sphingobacterium cellulitidis
GCF_011316935.1	Sphingobacterium chungjuense
GCF_014692525.1	Sphingobacterium chuzhouense
GCF_009829075.1	Sphingobacterium composti
GCF_003076635.1	Sphingobacterium corticibacter
GCF_004208525.1	Sphingobacterium corticibacterium
GCF_042684745.1	Sphingobacterium corticis
GCF_042678525.1	Sphingobacterium daejeonense
GCF_000757725.1	Sphingobacterium deserti
GCF_003610355.1	Sphingobacterium detergens
GCF_009733535.1	Sphingobacterium endophyticum
GCF_016746095.1	Sphingobacterium faecale
GCF_003054045.1	Sphingobacterium faecium
GCF_039536865.1	Sphingobacterium ginsenosidimutans
GCF_002980575.1	Sphingobacterium gobiense
GCF_014653155.1	Sphingobacterium griseoflavum
GCF_002980525.1	Sphingobacterium haloxyli
GCF_008274825.1	Sphingobacterium hotanense
GCF_009768885.1	Sphingobacterium humi
GCF_015210005.1	Sphingobacterium hungaricum
GCF_039536825.1	Sphingobacterium kyonggiense
GCF_011046555.1	Sphingobacterium lactis
GCF_014692495.1	Sphingobacterium litopenaei
GCF_006476045.1	Sphingobacterium lumbrici
GCF_011007385.1	Sphingobacterium luzhongxinii
GCF_014692515.1	Sphingobacterium micropteri
GCF_900187125.1	Sphingobacterium mizutaii
GCF_016894225.1	Sphingobacterium multivorum
GCF_900168125.1	Sphingobacterium nematocida
GCF_005048855.1	Sphingobacterium olei
GCF_028736175.1	Sphingobacterium oryzagri
GCF_004364125.1	Sphingobacterium paludis
GCF_014109745.1	Sphingobacterium paramultivorum
GCF_000416985.1	Sphingobacterium paucimobilis HER1398
GCF_015209965.1	Sphingobacterium pedocola
GCF_008180195.1	Sphingobacterium phlebotomi
GCF_042684825.1	Sphingobacterium populi
GCF_013167215.1	Sphingobacterium prati
GCF_004421025.1	Sphingobacterium psychroaquaticum
GCF_003627955.1	Sphingobacterium puteale
GCF_022627575.1	Sphingobacterium rhinopitheci
GCF_013179575.1	Sphingobacterium shayense
GCF_023277505.1	Sphingobacterium siyangense
GCF_016725645.1	Sphingobacterium spiritivorum
GCF_042684625.1	Sphingobacterium suaedae
GCF_017908035.1	Sphingobacterium tabacisoli
GCF_037126265.1	Sphingobacterium tenebrionis
GCF_901482695.1	Sphingobacterium thalpophilum
GCF_039541675.1	Sphingobacterium thermophilum
GCF_900116225.1	Sphingobacterium wenxiniae
GCF_004363245.1	Sphingobacterium yanglingense
GCF_042647425.1	Sphingobacterium zeae
GCF_009557615.1	Sphingobacterium zhuxiongii
GCF_001598335.1	Sphingobium abikonense NBRC 16140
GCF_023051225.1	Sphingobium agri
GCF_004005485.1	Sphingobium algorifonticola
GCF_003967075.1	Sphingobium amiense
GCF_037154135.1	Sphingobium aquiterrae
GCF_037154075.1	Sphingobium aromaticiconvertens
GCF_037154195.1	Sphingobium aromaticivastans
GCF_029167225.1	Sphingobium arseniciresistens
GCF_001046655.1	Sphingobium baderi LL03
GCF_000412635.1	Sphingobium bisphenolivorans
GCF_014199215.1	Sphingobium boeckii
