GCF_020404845.1	Streptomyces hyderabadensis
GCF_040684435.1	Streptomyces hydrogenans
GCF_037126205.1	Streptomyces hygroscopicus subsp. hygroscopicus
GCF_052934925.1	Streptomyces hypolithicus
GCF_036287475.1	Streptomyces iakyrus
GCF_028657195.3	Streptomyces iconiensis
GCF_042656345.1	Streptomyces incanus
GCF_001027185.1	Streptomyces incarnatus
GCF_021474405.1	Streptomyces indiaensis
GCF_900100315.1	Streptomyces indicus
GCF_022221585.1	Streptomyces inhibens
GCF_014651115.1	Streptomyces inusitatus
GCF_051122705.1	Streptomyces ipomoeae
GCF_042466515.1	Streptomyces iranensis
GCF_039525925.1	Streptomyces javensis
GCF_001642995.1	Streptomyces jeddahensis
GCF_031845565.1	Streptomyces johnsoniae
GCF_009600885.1	Streptomyces jumonjinensis
GCF_015163075.1	Streptomyces justiciae
GCF_042679505.1	Streptomyces kaempferi
GCF_008704495.1	Streptomyces kanamyceticus
GCF_043077165.1	Streptomyces kanasensis
GCF_009569385.1	Streptomyces kaniharaensis
GCF_002261115.1	Streptomyces kasugaensis
GCF_000966975.1	Streptomyces katrae
GCF_009600895.1	Streptomyces katsurahamanus
GCF_001906585.1	Streptomyces kebangsaanensis
GCF_003626645.1	Streptomyces klenkii
GCF_018604545.1	Streptomyces koelreuteriae
GCF_003428925.1	Streptomyces koyangensis
GCF_014646275.1	Streptomyces kronopolitis
GCF_032248675.1	Streptomyces kroppenstedtii
GCF_050018475.1	Streptomyces krungchingensis
GCF_039533535.1	Streptomyces kunmingensis
GCF_040677245.1	Streptomyces kurssanovii
GCF_032248635.1	Streptomyces kutzneri
GCF_039534145.1	Streptomyces labedae
