GCF_900142655.1	Phytopseudomonas punonensis
GCF_900102335.1	Phytopseudomonas seleniipraecipitans
GCF_900112645.1	Phytopseudomonas straminea
GCF_009792895.1	Pigmentibacter ruber
GCF_008119665.1	Pigmentiphaga aceris
GCF_039523035.1	Pigmentiphaga daeguensis
GCF_900606115.1	Pigmentiphaga humi
GCF_004216695.1	Pigmentiphaga kullae
GCF_014651835.1	Pigmentiphaga litoralis
GCF_039541095.1	Pigmentiphaga soli
GCF_011044155.1	Pikeienuella piscinae
GCF_900167335.1	Pilibacter termitis
GCF_014647895.1	Pilimelia anulata
GCF_039532605.1	Pilimelia columellifera subsp. columellifera
GCF_014647915.1	Pilimelia terevasa
GCF_032490495.1	Pilosibacter fragilis
GCF_000785495.1	Pimelobacter simplex
GCF_019130065.1	Pinibacter aurantiacus
GCF_029961145.1	Pinibacter soli
GCF_015905305.1	Pinirhizobacter soli
GCF_019160155.1	Pinisolibacter aquiterrae
GCF_007750855.1	Pirellulimonas nuda
GCF_900110685.1	Piscibacillus halophilus
GCF_042685285.1	Piscibacillus salipiscarius
GCF_001515525.1	Piscicoccus intestinalis NBRC 104926
GCF_900113675.1	Pisciglobus halotolerans
GCF_004011805.1	Piscinibacter defluvii
GCF_002762215.1	Piscinibacter gummiphilus
GCF_013366375.1	Piscinibacter koreensis
GCF_048320135.1	Piscinibacter sakaiensis
GCF_003852895.1	Piscinibacter terrae
GCF_047549485.1	Piscinibacterium candidicorallinum
GCF_001720395.1	Piscirickettsia litoralis
GCF_009708955.1	Piscirickettsia salmonis
GCF_007954585.1	Pistricoccus aurantiacus
GCF_030622045.1	Planctellipticum variicoloris
GCF_020687805.1	Planctobacterium marinum
GCF_900113665.1	Planctomicrobium piriforme
GCF_003067705.1	Planctomonas deserti
GCF_008642235.1	Planctomonas psychrotolerans
GCF_007752345.1	Planctopirus ephydatiae
GCF_001707835.1	Planctopirus hydrillae
GCF_000092105.1	Planctopirus limnophila DSM 3776
GCF_003001905.1	Planifilum fimeticola
GCF_900113175.1	Planifilum fulgidum
GCF_030827785.1	Planktomarina temperata
GCF_014640155.1	Planktosalinus lacus
GCF_002105285.1	Planktotalea arctica
GCF_001890925.1	Planktotalea frisia
GCF_040564635.1	Planktothricoides raciborskii GIHE-MW2
GCF_904830935.1	Planktothrix agardhii
GCF_015207485.1	Planktothrix mougeotii LEGE 06226
GCF_900009265.2	Planktothrix paucivesiculata PCC 9631
