GCF_900128925.1	Modicisalibacter ilicicola DSM 19980
GCF_000378505.1	Modicisalibacter luteus DSM 23508
GCF_900102945.1	Modicisalibacter muralis
GCF_900961225.1	Modicisalibacter radicis
GCF_020148005.1	Modicisalibacter tunisiensis
GCF_900113605.1	Modicisalibacter xianhensis
GCF_022592395.1	Moellerella wisconsensis
GCF_002998925.1	Mogibacterium diversum
GCF_029224645.1	Mogibacterium kristiansenii
GCF_030644205.1	Mogibacterium neglectum
GCF_002243385.1	Mogibacterium pumilum
GCF_000525775.1	Mogibacterium timidum ATCC 33093
GCF_014042165.1	Moheibacter lacus
GCF_900176425.1	Moheibacter sediminis
GCF_040545805.1	Moheibacter stercoris
GCF_003003005.1	Mongoliibacter ruber
GCF_001927285.1	Mongoliimonas terrestris
GCF_021596945.1	Mongoliitalea daihaiensis
GCF_014652135.1	Mongoliitalea lutea
GCF_002874775.1	Monoglobus pectinilyticus
GCF_003719825.1	Montanilutibacter psychrotolerans
GCF_001594015.1	Moorella mulderi DSM 14980
GCF_051020825.1	Moorella naiadis (nom. illeg.)
GCF_001942495.1	Moorena bouillonii PNG
GCF_000211815.1	Moorena producens 3L
GCF_000379845.1	Moraxella boevrei DSM 14165
GCF_025985205.1	Moraxella bovis
GCF_000988745.2	Moraxella bovoculi
GCF_034424565.1	Moraxella canis
GCF_900453285.1	Moraxella caprae
GCF_002080125.1	Moraxella catarrhalis
GCF_900453175.1	Moraxella caviae
